SEED,protected_att,target,method,anon_parameter,threshold_target,SPD,EOD,MAD,PED,PRD,ACC,f1,Precision,Recall,ROC_AUC,CM,ASF,ALF,NCF
6,sex,v_decile_score,k-anonymity,10.0,3,0.1537702874793399,-0.0056818181818182,-0.0521364510797409,0.1087848083815825,0.0526123492875411,0.7642045454545454,0.7688022284122563,0.7288732394366197,0.8133595284872298,0.7659119397463571,"[[393 154]
 [ 95 414]]",0.32987246,1.8153556972622809,0.14254788
7,sex,v_decile_score,k-anonymity,10.0,3,0.1154395116219081,-0.0360864745011085,-0.075681407812903,0.1220105631713251,-0.0140594699418229,0.7585227272727273,0.7658402203856749,0.7354497354497355,0.7988505747126436,0.7589758491540746,"[[384 150]
 [105 417]]",0.33350456,1.4735290948332984,0.15375492
8,sex,v_decile_score,k-anonymity,10.0,3,0.077313716184148,-0.0850711798972803,-0.0447555766492643,0.038378447070784,0.0879207336562338,0.759469696969697,0.7571701720841301,0.7252747252747253,0.792,0.7611079136690647,"[[406 150]
 [104 396]]",0.3755918,2.172448516900814,0.16033587
9,sex,v_decile_score,k-anonymity,10.0,3,0.1402955775540536,0.0425925925925925,-0.0317058807033286,0.112590799031477,0.0136694441514607,0.7660984848484849,0.7776777677767777,0.7272727272727273,0.8355899419729207,0.7675166778510243,"[[377 162]
 [ 85 432]]",0.38809323,1.7017771313411167,0.15736905
10,sex,v_decile_score,k-anonymity,10.0,3,0.1258878504672897,-0.0105128205128204,-0.0861682242990653,0.1490868564854759,-0.0713003200707799,0.7651515151515151,0.7578125,0.7106227106227107,0.8117154811715481,0.7691795398937326,"[[420 158]
 [ 90 388]]",0.3596087,1.7849598325857208,0.1530725
11,sex,v_decile_score,k-anonymity,10.0,3,0.1716196970860935,0.1416390626916942,-0.0221482895351105,0.1033746832066159,-0.1088205897051474,0.7992424242424242,0.7617977528089888,0.8604060913705583,0.6834677419354839,0.7926267281105991,"[[505  55]
 [157 339]]",0.21395811,1.543358081118842,0.12942556
12,sex,v_decile_score,k-anonymity,10.0,3,0.13025135421742,0.0807421107386429,-0.0033991573758276,0.0776621752231508,0.036138710305864,0.7679924242424242,0.7695202257761053,0.7316636851520573,0.8115079365079365,0.7698844030365769,"[[402 150]
 [ 95 409]]",0.40549743,1.672233588567051,0.15932855
13,sex,v_decile_score,k-anonymity,10.0,3,0.0674403505924363,-0.036435593805949,-0.0476151830639738,0.0672579453067258,0.0055646481178396,0.7585227272727273,0.7526673132880698,0.7067395264116576,0.8049792531120332,0.7622457241169922,"[[413 161]
 [ 94 388]]",0.3818776,2.310781478881836,0.15685439
14,sex,v_decile_score,k-anonymity,10.0,3,0.1849532710280373,0.1242353933769246,-0.005981308411215,0.1214538498326159,0.0353746485759687,0.7651515151515151,0.773308957952468,0.7218430034129693,0.8326771653543307,0.7676159549399391,"[[385 163]
 [ 85 423]]",0.37407038,1.8837185675597288,0.15673888
15,sex,v_decile_score,k-anonymity,10.0,3,0.1217703349282296,-0.0148289210789209,-0.0349282296650717,0.0686313686313686,0.0601446252259768,0.7859848484848485,0.7839388145315488,0.7414104882459313,0.8316430020283976,0.788823277213133,"[[420 143]
 [ 83 410]]",0.38544697,1.7392680644989014,0.16149288
